onset	duration	sample	type	value
382.602208699566	0	95652	Markers	Stim-40-L-walk-259-yellow-1-kongruent
382.858207501008	0	95716	Markers	BUT-LEFT-ButtonB-Press
382.858207501008	0	95716	Markers	WiimoteButtonB pressed
383.002206826819	0	95752	Markers	WiimoteButtonB released
383.106206339905	0	95778	Markers	WiimoteButtonB pressed
383.110206321178	0	95779	Markers	BUT-LEFT-ButtonB-Press
383.246205684444	0	95813	Markers	WiimoteButtonB released
384.15420143331	0	96040	Markers	Reaction: 0.255-left-yellow-correct
384.158201414583	0	96041	Markers	End-Trial-3.031
384.190201264763	0	96049	Markers	Trial Start: No.40-angle:40-right-right-kongruent-yellow-FA:no
385.686194260693	0	96423	Markers	Stim-NOTshown
386.206191826123	0	96553	Markers	Stim-NOTshown
386.726189391553	0	96683	Markers	Stim-NOTshown
387.246186956983	0	96813	Markers	Stim-NOTshown
387.766184522413	0	96943	Markers	Stim-NOTshown
388.286182087843	0	97073	Markers	Stim-NOTshown
388.806179653273	0	97203	Markers	Stim-NOTshown
